,xdot <= -0.57,thetadot > 1.28,theta <= -1.44,-0.20 < x <= 0.02,thetadot <= -1.13,theta > 1.22,0.02 < x <= 0.29,xdot > 0.63,x <= -0.20,-0.57 < xdot <= 0.00,-1.44 < theta <= 0.00,0.00 < thetadot <= 1.28,0.00 < theta <= 1.22,-1.13 < thetadot <= 0.00,0.00 < xdot <= 0.63,x > 0.29,instance_index
56,,0.005833577226846369,,,,0.014525971785853744,,0.6627662577821245,,,,,,,,-0.014174761228498282,56
57,,,,,,,-0.0030482574144943078,,,-0.6530642987959228,0.0065772989280391166,0.0091929114288247,,,,,57
58,,,,0.010083455991025602,-0.0016355932651510344,-0.005464742143517781,,,,-0.651598008978527,,,,,,,58
59,,,,0.01646898914674681,,,,,,-0.6530003621371856,,,0.0009087663868404221,0.010355486674430718,,,59
60,,,,0.026754971193280516,,,,,,-0.6661349226350188,,,-0.0017250784807715518,0.008871251380673103,,,60
61,-0.6543820750636248,0.0018335794151559553,,,,,,,-0.005214697805422711,,-0.00021867925681698757,,,,,,61
62,,,,0.0172236488971165,,0.028180347002337746,,0.6617729391482031,,,,,,-0.012017011638725338,,,62
63,-0.6627596912349273,,-0.009121993566722603,,,,,,-0.002252342284518673,,,0.0016659990469251845,,,,,63
64,,,,0.009026176369252015,,,,,,-0.6537724355012782,,,0.0014745760149224578,0.0010120580187259081,,,64
65,,0.012767795557796403,,-0.006945427634828256,,0.024838890368764466,,,,-0.660827803021371,,,,,,,65
66,,,,,,,-0.01206717026862847,,,-0.6522269334159142,-0.01768952644636111,0.017160540072599196,,,,,66
67,,,,,-5.301980401636991e-05,-0.00179144833064706,,0.6597345882784907,,,,,,,,-0.007750986773447169,67
68,,,0.01858916003108537,0.0071248403742977615,,,,0.6654169648584156,,,,-0.01804763271293449,,,,,68
69,,,,0.008818143870280909,,0.004324255483105716,,0.6436810663109603,,,,-0.0029350786098623414,,,,,69
70,-0.6567012841592748,,,,,,-0.0006501167047262559,,,,,-0.0031596443920503727,-0.004180540602073439,,,,70
71,,,,0.009214944138645337,,,,,,-0.655091304904673,,,0.01046746188357956,0.014224040803200073,,,71
72,-0.6689830570168738,,,,,,,,0.026825697764162958,,,-0.01646814048758001,-0.00931020666458839,,,,72
73,-0.6596487256074977,,,,,,0.0039034563940828783,,,,,0.006578081190515136,0.023886945022463,,,,73
74,,,,,-0.0029986176060709606,0.011959957425042855,,0.6593352528553466,,,,,,,,0.011935860105979372,74
75,,,,0.0033301327144615073,,,,,,-0.6496377714745452,-0.005743069891367836,,,-0.015193422836525803,,,75
76,-0.6589516432745001,,,,-0.03376913216569312,0.020629428716629466,-0.011056670021406685,,,,,,,,,,76
77,,,,,0.012581839021206447,,,0.6527804036340017,,,-0.032283372640210965,,,,,0.023605515090564216,77
